Std,Run,R1,SFR,Stages,D1_kmolhr,MFED_kmolhr,Qtotal_kW,Status
6,1,3.5,1.55,10,309.679215686275,33.6960578303187,29611.6786096442,OK
11,2,2,0.11,80,114.668468468468,11.6921865515234,7304.67399053246,OK
1,3,0.5,0.11,45,114.668468468468,14.8206068588244,3646.49091758837,OK
8,4,3.5,1.55,80,309.679215686275,27.5516819237177,29617.9085440787,OK
12,5,2,3,80,364.1705,37.1326963674623,23215.6218676698,OK
2,6,3.5,0.11,45,114.668468468468,10.2018767562663,10962.0288005931,OK
10,7,2,3,10,364.1705,40.3226184960743,23212.0636541107,OK
7,8,0.5,1.55,80,309.679215686275,40.0252481727131,9861.16068893314,OK
13,9,2,1.55,45,309.679215686275,31.5764848812695,19740.6530395469,OK
5,10,0.5,1.55,10,309.679215686275,40.1787072499389,9861.0099181014,OK
4,11,3.5,3,45,364.1705,32.3996874029879,34830.8860776041,OK
9,12,2,0.11,10,114.668468468468,13.4551524510937,7304.04303121986,OK
3,13,0.5,3,45,364.1705,47.0681075815158,11597.7272157353,OK
